sep =|
LocationId|Location|Iso3|Iso2|LocationTypeId|IndicatorId|Indicator|IndicatorDisplayName|SourceId|Source|Revision|VariantId|Variant|VariantShortName|VariantLabel|TimeId|TimeLabel|TimeMid|CategoryId|Category|EstimateTypeId|EstimateType|EstimateMethodId|EstimateMethod|SexId|Sex|AgeId|AgeLabel|AgeStart|AgeEnd|AgeMid|Value
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|120|23|23|23|23|0.0014978
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|120|23|23|23|23|0.00128455
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|120|23|23|23|23|0.00139656
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|121|24|24|24|24|0.00160806
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|121|24|24|24|24|0.00131761
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|121|24|24|24|24|0.0014701
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|93|25|25|25|25|0.00170011
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|93|25|25|25|25|0.00135542
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|93|25|25|25|25|0.00153628
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|122|26|26|26|26|0.00177242
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|122|26|26|26|26|0.00139961
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|122|26|26|26|26|0.00159499
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|123|27|27|27|27|0.00183787
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|123|27|27|27|27|0.00144933
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|123|27|27|27|27|0.00165248
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|124|28|28|28|28|0.00191487
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|124|28|28|28|28|0.00150278
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|124|28|28|28|28|0.00171777
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|125|29|29|29|29|0.00202075
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|125|29|29|29|29|0.00155673
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|125|29|29|29|29|0.00179841
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|94|30|30|30|30|0.00217125
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|94|30|30|30|30|0.0016075
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|94|30|30|30|30|0.00190062
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|127|31|31|31|31|0.00237339
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|127|31|31|31|31|0.00165586
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|127|31|31|31|31|0.00202839
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|128|32|32|32|32|0.00261787
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|128|32|32|32|32|0.00170911
